productId,review_count,avg_sentiment,final_sentiment
7310172001,1,1.0,positive
B00005IX96,1,-1.0,negative
B000084ETV,1,-1.0,negative
B000084EZ4,3,-0.3333333333333333,negative
B0000AH3UK,1,1.0,positive
B0000CNU2W,1,-1.0,negative
B0000D9MXU,1,1.0,positive
B0000DGG22,1,-1.0,negative
B0000DJ87O,1,-1.0,negative
B0000E5L20,1,1.0,positive
B0000TSQ6G,1,1.0,positive
B0000VZ0F4,1,1.0,positive
B0000VZPIQ,1,-1.0,negative
B00014DXCC,1,-1.0,negative
B00015YTT2,1,1.0,positive
B00016LAFM,1,1.0,positive
B00017LEXE,1,-1.0,negative
B0001BGTQM,1,1.0,positive
B0001BUMP6,1,-1.0,negative
B0001CXUDQ,1,-1.0,negative
B0001CXUHC,1,1.0,positive
B0001QNMW6,1,1.0,positive
B0001TPOY2,1,-1.0,negative
B0001ZZIEC,1,1.0,positive
B00020HHK4,1,-1.0,negative
B00020HHRW,3,0.0,negative
B00026O5D0,1,1.0,positive
B00028PD7A,1,1.0,positive
B0002ARQYQ,2,-0.5,negative
B0002ASQSQ,1,0.0,neutral
B0002DGJS2,1,-1.0,negative
B0002DGRPC,1,1.0,positive
B0002DGRQ6,1,1.0,positive
B0002DHNLE,1,-1.0,negative
B0002DHNY6,1,-1.0,negative
B0002DIO2G,1,-1.0,negative
B0002DJXRQ,1,-1.0,negative
B0002I0GUY,1,-1.0,negative
B0002I0GVS,1,0.0,neutral
B0002X8HB4,1,0.0,neutral
B0002YHU7A,1,-1.0,negative
B00032EIAI,1,1.0,positive
B0005YLONI,1,-1.0,negative
B0005YWN88,1,1.0,positive
B0005ZV1CQ,1,1.0,positive
B00061EUN6,1,1.0,positive
B00064VQNU,1,0.0,neutral
B00064VQO4,1,-1.0,negative
B0006GZA6C,1,0.0,neutral
B0006LKDS2,1,-1.0,negative
B0006MWNPW,2,-1.0,negative
B0006V6LEW,1,-1.0,negative
B0006VB3S6,1,-1.0,negative
B00073IVAQ,1,1.0,positive
B00073JVFU,1,1.0,positive
B0007A0AQM,1,0.0,neutral
B0007ZLRVO,2,-1.0,negative
B0007ZPY2C,1,-1.0,negative
B000934F1I,1,-1.0,negative
B0009ETA6W,1,0.0,neutral
B0009F1JQK,1,1.0,positive
B0009H9SMU,1,-1.0,negative
B0009JJB6G,1,1.0,positive
B0009TMUT6,1,1.0,positive
B0009VO58S,1,1.0,positive
B0009YD7P2,1,1.0,positive
B0009YJ4CW,3,-0.3333333333333333,neutral
B0009YUEG2,1,0.0,neutral
B0009YXA1S,1,-1.0,negative
B000AQJRWG,1,-1.0,negative
B000B6CYYS,1,0.0,neutral
B000B7S2QG,1,1.0,positive
B000BEZVW2,1,-1.0,negative
B000BF10IA,1,1.0,positive
B000BKGNUA,1,1.0,positive
B000CMFLPU,1,-1.0,negative
B000CNB4LE,2,-1.0,negative
B000CPASIW,1,-1.0,negative
B000CQ4DS2,1,-1.0,negative
B000CQBZPG,1,1.0,positive
B000CQBZQK,2,-1.0,negative
B000CQC05U,1,0.0,neutral
B000CQC08C,1,1.0,positive
B000CQC0B4,1,1.0,positive
B000CQE3IC,2,1.0,positive
B000CQG87Q,2,-0.5,negative
B000CQG89Y,1,0.0,neutral
B000CQG8AS,1,1.0,positive
B000CQG8K8,1,-1.0,negative
B000CQG8M6,1,-1.0,negative
B000CQID1A,3,0.0,negative
B000CQID1K,1,1.0,positive
B000CQID2Y,2,0.0,neutral
B000CQID6U,1,0.0,neutral
B000CQIDAG,2,0.5,neutral
B000CQIDHE,1,1.0,positive
B000CR00FQ,1,-1.0,negative
B000CR41D8,1,1.0,positive
B000CSEFQ0,1,-1.0,negative
B000DZDIYC,1,1.0,positive
B000E148MG,1,-1.0,negative
B000E15898,1,1.0,positive
B000E243R0,1,-1.0,negative
B000E243RA,1,-1.0,negative
B000E46GGO,1,0.0,neutral
B000E4ALGK,1,-1.0,negative
B000E4C2LW,1,1.0,positive
B000E4C89S,2,-0.5,negative
B000E63LQU,1,-1.0,negative
B000E7WM3W,1,1.0,positive
B000E9WB8G,1,-1.0,negative
B000ED9LSU,1,-1.0,negative
B000EDG430,1,1.0,positive
B000EDGB7E,4,-0.75,negative
B000EDKDVY,1,0.0,neutral
B000EDM70Y,1,-1.0,negative
B000EEG952,1,1.0,positive
B000EGUYMY,1,-1.0,negative
B000EGZ2L2,1,1.0,positive
B000EH4XZC,1,-1.0,negative
B000EI2LLO,1,1.0,positive
B000EM8UFG,1,1.0,positive
B000EML7DS,3,0.0,negative
B000EMM976,1,1.0,positive
B000EMPMWA,1,1.0,positive
B000ENUC3S,1,-1.0,negative
B000EOXQS0,1,1.0,positive
B000EPMP40,1,1.0,positive
B000EPOC1Y,1,-1.0,negative
B000EQT4MA,1,1.0,positive
B000EQX57K,1,1.0,positive
B000EQX6HO,1,-1.0,negative
B000EQYW0E,2,0.0,negative
B000ER1CSS,1,1.0,positive
B000ER1DDW,1,1.0,positive
B000ER3EKM,1,0.0,neutral
B000ER5DCY,1,1.0,positive
B000ER6Y54,1,1.0,positive
B000ETLVXC,1,1.0,positive
B000ETPYZS,1,-1.0,negative
B000EUIP8K,1,1.0,positive
B000EUJK2K,1,-1.0,negative
B000EVMNP0,1,-1.0,negative
B000EVQWKC,1,-1.0,negative
B000EVRBES,1,1.0,positive
B000EVT04M,1,0.0,neutral
B000EVWQZW,1,0.0,neutral
B000EWUO3W,1,1.0,positive
